iter	RMSE	RMSE
0	1.088996041	1.088996041
1	1.05889549	1.05889549
2	1.029533103	1.029533103
3	1.000262731	1.000262731
4	0.9719969347	0.9719969347
5	0.9451618503	0.9451618503
6	0.9186730396	0.9186730396
7	0.89247719	0.89247719
8	0.8684950599	0.8684950599
9	0.8442673875	0.8442673875
10	0.8209438289	0.8209438289
11	0.7983915565	0.7983915565
12	0.7764495087	0.7764495087
13	0.7546982974	0.7546982974
14	0.73382578	0.73382578
15	0.7138672104	0.7138672104
16	0.6941472314	0.6941472314
17	0.6747014759	0.6747014759
18	0.6560233326	0.6560233326
19	0.6378958234	0.6378958234
20	0.6203569108	0.6203569108
21	0.6034619119	0.6034619119
22	0.5871538218	0.5871538218
23	0.5712271171	0.5712271171
24	0.5555479671	0.5555479671
25	0.5403074643	0.5403074643
26	0.5259606083	0.5259606083
27	0.5114798718	0.5114798718
28	0.4979497887	0.4979497887
29	0.484968118	0.484968118
30	0.4722562691	0.4722562691
31	0.4599117609	0.4599117609
32	0.4478680588	0.4478680588
33	0.4363068535	0.4363068535
34	0.4248316217	0.4248316217
35	0.4138188089	0.4138188089
36	0.4031996639	0.4031996639
37	0.3928159504	0.3928159504
38	0.3828106235	0.3828106235
39	0.373259471	0.373259471
40	0.3639011302	0.3639011302
41	0.3547078357	0.3547078357
42	0.3458456866	0.3458456866
43	0.3373533719	0.3373533719
44	0.3291269914	0.3291269914
45	0.3210721299	0.3210721299
46	0.313205275	0.313205275
47	0.3054444032	0.3054444032
48	0.2977174025	0.2977174025
49	0.2903291702	0.2903291702
50	0.2836627136	0.2836627136
51	0.2768895606	0.2768895606
52	0.2704679979	0.2704679979
53	0.2643406989	0.2643406989
54	0.2582411119	0.2582411119
55	0.2526176202	0.2526176202
56	0.2469940471	0.2469940471
57	0.2415310494	0.2415310494
58	0.2364174605	0.2364174605
59	0.2314157703	0.2314157703
60	0.2263268173	0.2263268173
61	0.2215555429	0.2215555429
62	0.2168524862	0.2168524862
63	0.2122648555	0.2122648555
64	0.2082766098	0.2082766098
65	0.2040048352	0.2040048352
66	0.2000011308	0.2000011308
67	0.1961739735	0.1961739735
68	0.1923389764	0.1923389764
69	0.1883553862	0.1883553862
70	0.1844717124	0.1844717124
71	0.181161396	0.181161396
72	0.1781545506	0.1781545506
73	0.1750017234	0.1750017234
74	0.1718927448	0.1718927448
75	0.1690528661	0.1690528661
76	0.1664097972	0.1664097972
77	0.1636628249	0.1636628249
78	0.1610998494	0.1610998494
79	0.1582383175	0.1582383175
80	0.1555568378	0.1555568378
81	0.1531794993	0.1531794993
82	0.1508019706	0.1508019706
83	0.1485449978	0.1485449978
84	0.1464124771	0.1464124771
85	0.144290747	0.144290747
86	0.1420043867	0.1420043867
87	0.14013826	0.14013826
88	0.1381573169	0.1381573169
89	0.1363088042	0.1363088042
90	0.1346031984	0.1346031984
91	0.1329365752	0.1329365752
92	0.1313644343	0.1313644343
93	0.1297634921	0.1297634921
94	0.1283228588	0.1283228588
95	0.1269384855	0.1269384855
96	0.1257369627	0.1257369627
97	0.1242283377	0.1242283377
98	0.1228881464	0.1228881464
99	0.1215383177	0.1215383177
100	0.1203181062	0.1203181062
101	0.1191011304	0.1191011304
102	0.1179637309	0.1179637309
103	0.1168429703	0.1168429703
104	0.1158397169	0.1158397169
105	0.1148659361	0.1148659361
106	0.1138896401	0.1138896401
107	0.1130014431	0.1130014431
108	0.1121071298	0.1121071298
109	0.1113509755	0.1113509755
110	0.1104870042	0.1104870042
111	0.1098374726	0.1098374726
112	0.1091681389	0.1091681389
113	0.1084924539	0.1084924539
114	0.1079264673	0.1079264673
115	0.1073910018	0.1073910018
116	0.106821402	0.106821402
117	0.1061212971	0.1061212971
118	0.1054610623	0.1054610623
119	0.1047474993	0.1047474993
120	0.1041873195	0.1041873195
121	0.1036366392	0.1036366392
122	0.1030349755	0.1030349755
123	0.1026766797	0.1026766797
124	0.1022680109	0.1022680109
125	0.1016940137	0.1016940137
126	0.1012644333	0.1012644333
127	0.1008309903	0.1008309903
128	0.1003103306	0.1003103306
129	0.09982965766	0.09982965766
130	0.09941804646	0.09941804646
131	0.09909070645	0.09909070645
132	0.09871550077	0.09871550077
133	0.09832519726	0.09832519726
134	0.09802823475	0.09802823475
135	0.09777849906	0.09777849906
136	0.09729730812	0.09729730812
137	0.09703256019	0.09703256019
138	0.09675489611	0.09675489611
139	0.09640766596	0.09640766596
140	0.09605075531	0.09605075531
141	0.09574721271	0.09574721271
142	0.09545971024	0.09545971024
143	0.09513499812	0.09513499812
144	0.09490411852	0.09490411852
145	0.09464313685	0.09464313685
146	0.09442127844	0.09442127844
147	0.09428040617	0.09428040617
148	0.09394237885	0.09394237885
149	0.0937243501	0.0937243501
150	0.09351009871	0.09351009871
151	0.09338693111	0.09338693111
152	0.09319221675	0.09319221675
153	0.09301916669	0.09301916669
154	0.09288656629	0.09288656629
155	0.09268040668	0.09268040668
156	0.09249417219	0.09249417219
157	0.09224001846	0.09224001846
158	0.09203285758	0.09203285758
159	0.09188329986	0.09188329986
160	0.09167842782	0.09167842782
161	0.09151850532	0.09151850532
162	0.09134198592	0.09134198592
163	0.09128277307	0.09128277307
164	0.09120269576	0.09120269576
165	0.09107381848	0.09107381848
166	0.09093856981	0.09093856981
167	0.09076326881	0.09076326881
168	0.0906238825	0.0906238825
169	0.09051120317	0.09051120317
170	0.09032202753	0.09032202753
171	0.09021270505	0.09021270505
172	0.09015575317	0.09015575317
173	0.09004701147	0.09004701147
174	0.08995467413	0.08995467413
175	0.08985648364	0.08985648364
176	0.0896712413	0.0896712413
177	0.0895918891	0.0895918891
178	0.08951411316	0.08951411316
179	0.08945898844	0.08945898844
180	0.08938593446	0.08938593446
181	0.08927462382	0.08927462382
182	0.08920384012	0.08920384012
183	0.08914271014	0.08914271014
184	0.0890009358	0.0890009358
185	0.08889679265	0.08889679265
186	0.08882201432	0.08882201432
187	0.08877990576	0.08877990576
188	0.08862858558	0.08862858558
189	0.0885287726	0.0885287726
190	0.08846499911	0.08846499911
191	0.08841118144	0.08841118144
192	0.08830224684	0.08830224684
193	0.08821545687	0.08821545687
194	0.08818759811	0.08818759811
195	0.08804331004	0.08804331004
196	0.08797868287	0.08797868287
197	0.08794588563	0.08794588563
198	0.08791357827	0.08791357827
199	0.08781497449	0.08781497449
200	0.08773974634	0.08773974634
201	0.08763043242	0.08763043242
202	0.0875926173	0.0875926173
203	0.08756498944	0.08756498944
204	0.08750536109	0.08750536109
205	0.08742537459	0.08742537459
206	0.08734572107	0.08734572107
207	0.08722352622	0.08722352622
208	0.08709570151	0.08709570151
209	0.08705727793	0.08705727793
210	0.08701429442	0.08701429442
211	0.08697644162	0.08697644162
212	0.08692633181	0.08692633181
213	0.08682274244	0.08682274244
214	0.08670544417	0.08670544417
215	0.0866259324	0.0866259324
216	0.08657249854	0.08657249854
217	0.08653095739	0.08653095739
218	0.08646416677	0.08646416677
219	0.08642717401	0.08642717401
220	0.08636434241	0.08636434241
221	0.08627758599	0.08627758599
222	0.08624184249	0.08624184249
223	0.0862251449	0.0862251449
224	0.086194033	0.086194033
225	0.08615750492	0.08615750492
226	0.08611061458	0.08611061458
227	0.08603047341	0.08603047341
228	0.08595917327	0.08595917327
229	0.085905481	0.085905481
230	0.08579397704	0.08579397704
231	0.08574982234	0.08574982234
232	0.08572826834	0.08572826834
233	0.08568589525	0.08568589525
234	0.08563407396	0.08563407396
235	0.08560616703	0.08560616703
236	0.08550162001	0.08550162001
237	0.08546684251	0.08546684251
238	0.08542118025	0.08542118025
239	0.0853831362	0.0853831362
240	0.08531833227	0.08531833227
241	0.08523766983	0.08523766983
242	0.08517546586	0.08517546586
243	0.08513892748	0.08513892748
244	0.08510100301	0.08510100301
245	0.08509890966	0.08509890966
246	0.08505127366	0.08505127366
247	0.0850050764	0.0850050764
248	0.08492271985	0.08492271985
249	0.08488860428	0.08488860428
250	0.08481603118	0.08481603118
251	0.08481118515	0.08481118515
252	0.08477827706	0.08477827706
253	0.08474111427	0.08474111427
254	0.08471150995	0.08471150995
255	0.08468025476	0.08468025476
256	0.0846468999	0.0846468999
257	0.08460632737	0.08460632737
258	0.08455877	0.08455877
259	0.08450159084	0.08450159084
260	0.08442155643	0.08442155643
261	0.08438674725	0.08438674725
262	0.08433667156	0.08433667156
263	0.08432221249	0.08432221249
264	0.08428523372	0.08428523372
265	0.084240786	0.084240786
266	0.08416301892	0.08416301892
267	0.08414482044	0.08414482044
268	0.08410949088	0.08410949088
269	0.08408908322	0.08408908322
270	0.08405497632	0.08405497632
271	0.08404417329	0.08404417329
272	0.08396156131	0.08396156131
273	0.08390118134	0.08390118134
274	0.08382082617	0.08382082617
275	0.08380818529	0.08380818529
276	0.0837649235	0.0837649235
277	0.08371540035	0.08371540035
278	0.08368005612	0.08368005612
279	0.08366363689	0.08366363689
280	0.08361723746	0.08361723746
281	0.08360881274	0.08360881274
282	0.08356038707	0.08356038707
283	0.08351755509	0.08351755509
284	0.08347522859	0.08347522859
285	0.08346651004	0.08346651004
286	0.08342986431	0.08342986431
287	0.08341426487	0.08341426487
288	0.08339606685	0.08339606685
289	0.08336821126	0.08336821126
290	0.08332216731	0.08332216731
291	0.08329204708	0.08329204708
292	0.0832850761	0.0832850761
293	0.08324654792	0.08324654792
294	0.08321072147	0.08321072147
295	0.08317800936	0.08317800936
296	0.08315647233	0.08315647233
297	0.08306075705	0.08306075705
298	0.08303180418	0.08303180418
299	0.08299662283	0.08299662283
300	0.08297948999	0.08297948999
301	0.08294881447	0.08294881447
302	0.08294068159	0.08294068159
303	0.08290767722	0.08290767722
304	0.08285953005	0.08285953005
305	0.0828388533	0.0828388533
306	0.08277032156	0.08277032156
307	0.08269663857	0.08269663857
308	0.08267785241	0.08267785241
309	0.08262350568	0.08262350568
310	0.08257887871	0.08257887871
311	0.0825167624	0.0825167624
312	0.0824880962	0.0824880962
313	0.08246035302	0.08246035302
314	0.08243347776	0.08243347776
315	0.08239511491	0.08239511491
316	0.08237846448	0.08237846448
317	0.08235638676	0.08235638676
318	0.08231706788	0.08231706788
319	0.08222083124	0.08222083124
320	0.08214768458	0.08214768458
321	0.08212781128	0.08212781128
322	0.08211596304	0.08211596304
323	0.08209827314	0.08209827314
324	0.08206591766	0.08206591766
325	0.08203403013	0.08203403013
326	0.08201832403	0.08201832403
327	0.08196693473	0.08196693473
328	0.0818833083	0.0818833083
329	0.0818564747	0.0818564747
330	0.08183519856	0.08183519856
331	0.08179740687	0.08179740687
332	0.08176932218	0.08176932218
333	0.08176174042	0.08176174042
334	0.08174202921	0.08174202921
335	0.08172098856	0.08172098856
336	0.08170753538	0.08170753538
337	0.08166794876	0.08166794876
338	0.081655062	0.081655062
339	0.0816427006	0.0816427006
340	0.08162125072	0.08162125072
341	0.08158789215	0.08158789215
342	0.0815618298	0.0815618298
343	0.08156078868	0.08156078868
344	0.08154604147	0.08154604147
345	0.08153241419	0.08153241419
346	0.08152917481	0.08152917481
347	0.08145875529	0.08145875529
348	0.0814454054	0.0814454054
349	0.08142338857	0.08142338857
350	0.0813532026	0.0813532026
351	0.08133077294	0.08133077294
352	0.08130359707	0.08130359707
353	0.08127519541	0.08127519541
354	0.08124446258	0.08124446258
355	0.08121235297	0.08121235297
356	0.08118422506	0.08118422506
357	0.0811773035	0.0811773035
358	0.0811496216	0.0811496216
359	0.08113066138	0.08113066138
360	0.08111719897	0.08111719897
